name,reviews,competitors,website,owner_name,rating,link,domain
Andy's Adult World,54,,http://www.andysadultworld.com/,Andy's Adult World (Sahibi),4.2,https://www.google.com/maps/place/Andy%27s+Adult+World/data=!4m7!3m6!1s0x80c2cf0c51f9f07f:0x5fde2ddf12865cad!8m2!3d34.0223646!4d-118.1674665!16s%2Fg%2F1tdlhkq0!19sChIJf_D5UQzPwoARrVyGEt8t3l8?authuser=0&hl=tr&rclk=1,
Amor Lingerie Sex Shop,51,,http://amorsexstore.com/,Amor Lingerie Sex Shop (Sahibi),4,https://www.google.com/maps/place/Amor+Lingerie+Sex+Shop/data=!4m7!3m6!1s0x80c2b87a903107dd:0xab745dbe21edcd6b!8m2!3d34.042302!4d-118.308342!16s%2Fg%2F11ckr45j7w!19sChIJ3QcxkHq4woARa83tIb5ddKs?authuser=0&hl=tr&rclk=1,
Exotic Zone Shop,50,,https://exoticzoneshop.com/,Exotic Zone Shop (Sahibi),4.7,https://www.google.com/maps/place/Exotic+Zone+Shop/data=!4m7!3m6!1s0x80c2ca89be123f23:0x9f8c0b55f9ad7fc1!8m2!3d33.8923737!4d-118.2838151!16s%2Fg%2F1td0gsgk!19sChIJIz8SvonKwoARwX-t-VULjJ8?authuser=0&hl=tr&rclk=1,
Amor Lingerie Sex shop,49,,http://amorlingerie.com/,Amor Lingerie Sex shop (Sahibi),4,https://www.google.com/maps/place/Amor+Lingerie+Sex+shop/data=!4m7!3m6!1s0x80c2c91bc20663a9:0x46d8ceca54d34f26!8m2!3d33.9812878!4d-118.236541!16s%2Fg%2F1thzp4zb!19sChIJqWMGwhvJwoARJk_TVMrO2EY?authuser=0&hl=tr&rclk=1,
Camouflage,46,,https://shop-camouflage.com/,Camouflage (Sahibi),4.5,https://www.google.com/maps/place/Camouflage/data=!4m7!3m6!1s0x808e402623dad581:0xb2a4d8d0e7edf132!8m2!3d36.9739175!4d-122.026222!16s%2Fg%2F1vwlpc7w!19sChIJgdXaIyZAjoARMvHt59DYpLI?authuser=0&hl=tr&rclk=1,
Secrets Love Boutique,45,,https://secretsloveboutique.com/,Secrets Love Boutique (Sahibi),4.5,https://www.google.com/maps/place/Secrets+Love+Boutique/data=!4m7!3m6!1s0x809adedfecf61247:0x3569e24f4c2baeda!8m2!3d38.6757395!4d-121.2920217!16s%2Fg%2F1wn_6c1p!19sChIJRxL27N_emoAR2q4rTE_iaTU?authuser=0&hl=tr&rclk=1,
Suzie's Adult Superstore,43,,http://suzies.com/,Suzie's Adult Superstore (Sahibi),4.2,https://www.google.com/maps/place/Suzie%27s+Adult+Superstore/data=!4m7!3m6!1s0x809053f3efde26a9:0x3add290849686131!8m2!3d37.646433!4d-120.994041!16s%2Fg%2F1tf48d4s!19sChIJqSbe7_NTkIARMWFoSQgp3To?authuser=0&hl=tr&rclk=1,
Temporary Satisfaction | Long Beach's Sexual Wellness,41,,https://www.temporarysatisfaction.com/,Temporary Satisfaction | Long Beach's Sexual Wellness (Sahibi),4.3,https://www.google.com/maps/place/Temporary+Satisfaction+%7C+Long+Beach%E2%80%99s+Sexual+Wellness/data=!4m7!3m6!1s0x80dd31a428fda45f:0x9bb4744c781dbc01!8m2!3d33.7751957!4d-118.1531392!16s%2Fg%2F1thnp268!19sChIJX6T9KKQx3YARAbwdeEx0tJs?authuser=0&hl=tr&rclk=1,
Goldies Boutique,41,,http://www.secretsboutiques.com/,Goldies Boutique (Sahibi),4.2,https://www.google.com/maps/place/Goldies+Boutique/data=!4m7!3m6!1s0x809ad72c6514c29b:0x5490889914c7aec5!8m2!3d38.5904967!4d-121.4851306!16s%2Fg%2F1v9409pz!19sChIJm8IUZSzXmoARxa7HFJmIkFQ?authuser=0&hl=tr&rclk=1,
Cupid's Closet Brentwood Adult Store & Sex Shop,37,,https://cupidscloset.com/,Cupid's Closet Brentwood Adult Store & Sex Shop (Sahibi),4.4,https://www.google.com/maps/place/Cupid%27s+Closet+Brentwood+Adult+Store+%26+Sex+Shop/data=!4m7!3m6!1s0x80c2bbfce84247e9:0xecd15bca1c602f76!8m2!3d34.0434796!4d-118.4686335!16s%2Fg%2F11h9n80qrv!19sChIJ6UdC6Py7woARdi9gHMpb0ew?authuser=0&hl=tr&rclk=1,
